reclat,reclon,
 -78.82347,42.95022,
 -78.82347,42.95023,
 -78.82348,42.95023,
 -78.82348,42.95023,
 -78.82349,42.95024,
 -78.82350,42.95024,
 -78.82351,42.95024,
 -78.82351,42.95025,
 -78.82352,42.95025,
 -78.82352,42.95025,
 -78.82353,42.95025,
 -78.82353,42.95024,
 -78.82353,42.95024,
 -78.82352,42.95023,
 -78.82352,42.95023,
 -78.82351,42.95022,
 -78.82350,42.95022,
 -78.82350,42.95022,
 -78.82349,42.95022,
 -78.82348,42.95022,
 -78.82347,42.95022,
 -78.82347,42.95022,
 -78.82348,42.95023,
 -78.82349,42.95023,
 -78.82349,42.95024,
 -78.82350,42.95024,
 -78.82351,42.95025,
 -78.82351,42.95025,
 -78.82352,42.95025,
 -78.82353,42.95025,
 -78.82353,42.95026,
 -78.82355,42.95027,
 -78.82355,42.95027,
 -78.82356,42.95027,
 -78.82357,42.95027,
 -78.82357,42.95027,
 -78.82358,42.95028,
 -78.82358,42.95028,
 -78.82359,42.95027,
 -78.82358,42.95027,
 -78.82358,42.95026,
 -78.82357,42.95026,
 -78.82356,42.95026,
 -78.82356,42.95025,
 -78.82355,42.95026,
 -78.82354,42.95025,
 -78.82353,42.95026,
 -78.82354,42.95026,
 -78.82355,42.95027,
 -78.82355,42.95027,
 -78.82356,42.95027,
 -78.82357,42.95027,
 -78.82358,42.95028,
 -78.82357,42.95029,
 -78.82358,42.95029,
 -78.82359,42.95030,
 -78.82359,42.95030,
 -78.82360,42.95031,
 -78.82360,42.95031,
 -78.82362,42.95030,
 -78.82362,42.95029,
 -78.82362,42.95029,
 -78.82361,42.95029,
 -78.82360,42.95028,
 -78.82360,42.95028,
 -78.82359,42.95028,
 -78.82358,42.95028,
 -78.82358,42.95029,
 -78.82359,42.95029,
 -78.82359,42.95029,
 -78.82360,42.95030,
 -78.82361,42.95030,
 -78.82362,42.95030,
 -78.82362,42.95030,
 -78.82363,42.95031,
 -78.82364,42.95031,
 -78.82364,42.95031,
 -78.82365,42.95032,
 -78.82365,42.95032,
 -78.82366,42.95032,
 -78.82367,42.95033,
 -78.82367,42.95033,
 -78.82367,42.95033,
 -78.82368,42.95033,
 -78.82369,42.95034,
 -78.82369,42.95034,
 -78.82369,42.95034,
 -78.82370,42.95035,
 -78.82371,42.95035,
 -78.82371,42.95035,
 -78.82372,42.95035,
 -78.82372,42.95036,
 -78.82373,42.95036,
 -78.82374,42.95037,
 -78.82374,42.95037,
 -78.82374,42.95037,
 -78.82375,42.95037,
 -78.82375,42.95038,
 -78.82376,42.95038,
 -78.82376,42.95038,
 -78.82377,42.95039,
 -78.82377,42.95039,
 -78.82378,42.95039,
 -78.82379,42.95040,
 -78.82379,42.95040,
 -78.82380,42.95040,
 -78.82380,42.95041,
 -78.82381,42.95041,
 -78.82382,42.95042,
 -78.82382,42.95042,
 -78.82383,42.95042,
 -78.82383,42.95043,
 -78.82384,42.95043,
 -78.82384,42.95043,
 -78.82385,42.95044,
 -78.82386,42.95044,
 -78.82386,42.95045,
 -78.82387,42.95045,
 -78.82387,42.95045,
 -78.82388,42.95046,
 -78.82389,42.95046,
 -78.82389,42.95046,
 -78.82390,42.95047,
 -78.82390,42.95047,
 -78.82390,42.95047,
 -78.82391,42.95048,
 -78.82392,42.95048,
 -78.82392,42.95048,
 -78.82392,42.95048,
 -78.82393,42.95049,
 -78.82394,42.95049,
 -78.82394,42.95050,
 -78.82395,42.95050,
 -78.82396,42.95050,
 -78.82397,42.95051,
 -78.82397,42.95051,
 -78.82397,42.95051,
 -78.82398,42.95052,
 -78.82399,42.95052,
 -78.82400,42.95053,
 -78.82400,42.95053,
 -78.82400,42.95053,
 -78.82401,42.95054,
 -78.82402,42.95054,
 -78.82402,42.95055,
 -78.82403,42.95055,
 -78.82403,42.95055,
 -78.82404,42.95055,
 -78.82405,42.95056,
 -78.82405,42.95056,
 -78.82406,42.95056,
 -78.82406,42.95057,
 -78.82407,42.95057,
 -78.82408,42.95057,
 -78.82408,42.95058,
 -78.82409,42.95058,
 -78.82410,42.95059,
 -78.82411,42.95059,
 -78.82411,42.95060,
 -78.82412,42.95060,
 -78.82413,42.95061,
 -78.82413,42.95061,
 -78.82414,42.95062,
 -78.82415,42.95062,
 -78.82416,42.95062,
 -78.82416,42.95063,
 -78.82417,42.95063,
 -78.82417,42.95063,
 -78.82419,42.95064,
 -78.82420,42.95064,
 -78.82422,42.95065,
 -78.82423,42.95066,
 -78.82424,42.95066,
 -78.82422,42.95068,
 -78.82421,42.95067,
 -78.82420,42.95066,
 -78.82419,42.95066,
 -78.82418,42.95066,
 -78.82417,42.95064,
 -78.82418,42.95064,
 -78.82419,42.95064,
 -78.82420,42.95065,
 -78.82420,42.95065,
 -78.82421,42.95065,
 -78.82422,42.95066,
 -78.82423,42.95066,
 -78.82424,42.95067,
 -78.82425,42.95068,
 -78.82427,42.95068,
 -78.82429,42.95069,
 -78.82430,42.95070,
 -78.82431,42.95070,
 -78.82431,42.95071,
 -78.82431,42.95072,
 -78.82431,42.95073,
 -78.82430,42.95072,
 -78.82428,42.95072,
 -78.82427,42.95071,
 -78.82426,42.95070,
 -78.82425,42.95070,
 -78.82426,42.95068,
 -78.82427,42.95069,
 -78.82428,42.95069,
 -78.82429,42.95069,
 -78.82430,42.95070,
 -78.82432,42.95072,
 -78.82433,42.95072,
 -78.82434,42.95074,
 -78.82435,42.95074,
 -78.82437,42.95075,
 -78.82439,42.95075,
 -78.82440,42.95076,
 -78.82441,42.95077,
 -78.82441,42.95078,
 -78.82439,42.95078,
 -78.82438,42.95078,
 -78.82437,42.95077,
 -78.82436,42.95077,
 -78.82435,42.95077,
 -78.82435,42.95075,
 -78.82436,42.95075,
 -78.82437,42.95075,
 -78.82439,42.95076,
 -78.82440,42.95077,
 -78.82440,42.95078,
 -78.82445,42.95079,
 -78.82446,42.95079,
 -78.82450,42.95081,
 -78.82450,42.95082,
 -78.82449,42.95083,
 -78.82452,42.95085,
 -78.82451,42.95086,
 -78.82449,42.95086,
 -78.82448,42.95086,
 -78.82447,42.95085,
 -78.82446,42.95085,
 -78.82445,42.95084,
 -78.82443,42.95082,
 -78.82446,42.95080,
 -78.82448,42.95080,
 -78.82449,42.95081,
 -78.82451,42.95082,
 -78.82452,42.95082,
 -78.82450,42.95084,
 -78.82449,42.95084,
