reclat,reclon,track_fid,track_seg_id,track_seg_point_id,ele,time,course,speed,magvar,geoidheight,name,cmt,desc,src,url,urlname,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.8248487,42.95188302,0,0,122,174,2020/10/30 13:26:14+00,,1.87,,,,,,,,,,,,12,,,,,
-78.82483739,42.95189791,0,0,123,174,2020/10/30 13:26:15+00,,1.73,,,,,,,,,,,,12,,,,,
-78.82483003,42.95191163,0,0,124,174,2020/10/30 13:26:16+00,,1.41,,,,,,,,,,,,13,,,,,
-78.82482129,42.95192785,0,0,125,174,2020/10/30 13:26:17+00,,2.03,,,,,,,,,,,,12,,,,,
-78.82480852,42.95194496,0,0,126,173,2020/10/30 13:26:18+00,,1.94,,,,,,,,,,,,12,,,,,
-78.82480019,42.95196073,0,0,127,174,2020/10/30 13:26:19+00,,1.74,,,,,,,,,,,,12,,,,,
-78.82478956,42.95197396,0,0,128,174,2020/10/30 13:26:20+00,,1.85,,,,,,,,,,,,12,,,,,
-78.8247749,42.95198356,0,0,129,173,2020/10/30 13:26:21+00,,1.86,,,,,,,,,,,,12,,,,,
-78.82475822,42.95198974,0,0,130,174,2020/10/30 13:26:22+00,,1.79,,,,,,,,,,,,12,,,,,
-78.82474108,42.95199388,0,0,131,175,2020/10/30 13:26:23+00,,1.87,,,,,,,,,,,,12,,,,,
-78.82472481,42.95199831,0,0,132,176,2020/10/30 13:26:24+00,,1.72,,,,,,,,,,,,12,,,,,
-78.82471281,42.95200419,0,0,133,176,2020/10/30 13:26:25+00,,1.34,,,,,,,,,,,,12,,,,,
-78.82470208,42.95201613,0,0,134,178,2020/10/30 13:26:26+00,,1.51,,,,,,,,,,,,12,,,,,
-78.82469512,42.95202703,0,0,135,178,2020/10/30 13:26:27+00,,1.26,,,,,,,,,,,,12,,,,,
-78.82468516,42.95203591,0,0,136,178,2020/10/30 13:26:28+00,,1.3,,,,,,,,,,,,12,,,,,
-78.82467229,42.9520413,0,0,137,178,2020/10/30 13:26:29+00,,1.11,,,,,,,,,,,,13,,,,,
-78.82466123,42.95204543,0,0,138,179,2020/10/30 13:26:30+00,,0.74,,,,,,,,,,,,13,,,,,
-78.82464777,42.95204891,0,0,139,182,2020/10/30 13:26:31+00,,1.21,,,,,,,,,,,,13,,,,,
-78.82463401,42.95205368,0,0,140,181,2020/10/30 13:26:32+00,,0.94,,,,,,,,,,,,13,,,,,
-78.82462312,42.95205991,0,0,141,179,2020/10/30 13:26:33+00,,0.63,,,,,,,,,,,,13,,,,,
-78.8246134,42.9520666,0,0,142,179,2020/10/30 13:26:34+00,,0.74,,,,,,,,,,,,13,,,,,
-78.82460078,42.95207389,0,0,143,177,2020/10/30 13:26:35+00,,1.04,,,,,,,,,,,,13,,,,,
-78.82458703,42.95208181,0,0,144,176,2020/10/30 13:26:36+00,,0.94,,,,,,,,,,,,13,,,,,
-78.82456459,42.95209895,0,0,145,175,2020/10/30 13:26:37+00,,2.7,,,,,,,,,,,,13,,,,,
-78.82454026,42.9521196,0,0,146,174,2020/10/30 13:26:38+00,,2.2,,,,,,,,,,,,13,,,,,
-78.82452165,42.95213995,0,0,147,175,2020/10/30 13:26:39+00,,2.17,,,,,,,,,,,,13,,,,,
-78.82450191,42.95216135,0,0,148,175,2020/10/30 13:26:40+00,,2.25,,,,,,,,,,,,13,,,,,
-78.82447859,42.95218188,0,0,149,175,2020/10/30 13:26:41+00,,2.33,,,,,,,,,,,,13,,,,,
-78.82445612,42.95219636,0,0,150,174,2020/10/30 13:26:42+00,,1.85,,,,,,,,,,,,13,,,,,
-78.82443259,42.95221141,0,0,151,174,2020/10/30 13:26:43+00,,2.17,,,,,,,,,,,,11,,,,,
-78.82441204,42.95222703,0,0,152,174,2020/10/30 13:26:44+00,,1.95,,,,,,,,,,,,12,,,,,
-78.8243939,42.95224214,0,0,153,174,2020/10/30 13:26:45+00,,1.67,,,,,,,,,,,,12,,,,,
-78.82437791,42.95225631,0,0,154,173,2020/10/30 13:26:46+00,,1.53,,,,,,,,,,,,12,,,,,
-78.82436391,42.95227083,0,0,155,174,2020/10/30 13:26:47+00,,1.61,,,,,,,,,,,,13,,,,,
-78.82435298,42.95228438,0,0,156,174,2020/10/30 13:26:48+00,,1.6,,,,,,,,,,,,13,,,,,
-78.82434767,42.95229962,0,0,157,173,2020/10/30 13:26:49+00,,1.63,,,,,,,,,,,,13,,,,,
-78.82434227,42.952314,0,0,158,172,2020/10/30 13:26:50+00,,1.54,,,,,,,,,,,,13,,,,,
-78.82434419,42.95232266,0,0,159,172,2020/10/30 13:26:51+00,,0.3,,,,,,,,,,,,13,,,,,
-78.82434471,42.95233001,0,0,160,171,2020/10/30 13:26:52+00,,1.16,,,,,,,,,,,,13,,,,,
-78.82433871,42.95234124,0,0,161,170,2020/10/30 13:26:53+00,,1.57,,,,,,,,,,,,13,,,,,
-78.82433713,42.95234894,0,0,162,171,2020/10/30 13:26:54+00,,0.78,,,,,,,,,,,,13,,,,,
-78.82433427,42.95235892,0,0,163,171,2020/10/30 13:26:55+00,,1.65,,,,,,,,,,,,13,,,,,
-78.82432779,42.95237678,0,0,164,171,2020/10/30 13:26:56+00,,2.49,,,,,,,,,,,,13,,,,,
-78.82431587,42.95239524,0,0,165,171,2020/10/30 13:26:57+00,,2.32,,,,,,,,,,,,13,,,,,
-78.82430434,42.95241143,0,0,166,172,2020/10/30 13:26:58+00,,2.2,,,,,,,,,,,,12,,,,,
-78.82429336,42.95242425,0,0,167,173,2020/10/30 13:26:59+00,,1.69,,,,,,,,,,,,13,,,,,
-78.82428492,42.95243407,0,0,168,173,2020/10/30 13:27:00+00,,1.57,,,,,,,,,,,,12,,,,,
-78.82427621,42.9524452,0,0,169,174,2020/10/30 13:27:01+00,,1.59,,,,,,,,,,,,12,,,,,
-78.82426813,42.9524573,0,0,170,173,2020/10/30 13:27:02+00,,1.61,,,,,,,,,,,,12,,,,,
-78.82425818,42.95247001,0,0,171,173,2020/10/30 13:27:03+00,,1.71,,,,,,,,,,,,12,,,,,
-78.82425005,42.95247957,0,0,172,172,2020/10/30 13:27:04+00,,1.3,,,,,,,,,,,,12,,,,,
-78.8242417,42.95248887,0,0,173,170,2020/10/30 13:27:05+00,,1.4,,,,,,,,,,,,13,,,,,
-78.82423658,42.95249807,0,0,174,170,2020/10/30 13:27:06+00,,1.23,,,,,,,,,,,,13,,,,,
-78.82423404,42.95250816,0,0,175,170,2020/10/30 13:27:07+00,,1.28,,,,,,,,,,,,13,,,,,
-78.82423362,42.95251982,0,0,176,169,2020/10/30 13:27:08+00,,1.34,,,,,,,,,,,,13,,,,,
-78.82423495,42.95253105,0,0,177,169,2020/10/30 13:27:09+00,,0.96,,,,,,,,,,,,13,,,,,
-78.82423698,42.95254259,0,0,178,170,2020/10/30 13:27:10+00,,1.7,,,,,,,,,,,,13,,,,,
-78.82424155,42.952549,0,0,179,169,2020/10/30 13:27:11+00,,0.83,,,,,,,,,,,,13,,,,,
-78.824251,42.95253965,0,0,180,170,2020/10/30 13:27:12+00,,0,,,,,,,,,,,,13,,,,,
-78.82424691,42.95255125,0,0,181,169,2020/10/30 13:27:13+00,,2.17,,,,,,,,,,,,13,,,,,
-78.82423399,42.95256625,0,0,182,169,2020/10/30 13:27:14+00,,1.58,,,,,,,,,,,,13,,,,,
-78.82422125,42.95257793,0,0,183,169,2020/10/30 13:27:15+00,,1.47,,,,,,,,,,,,13,,,,,
-78.8242014,42.95259086,0,0,184,170,2020/10/30 13:27:16+00,,1.92,,,,,,,,,,,,13,,,,,
-78.82418347,42.9526027,0,0,185,170,2020/10/30 13:27:17+00,,1.39,,,,,,,,,,,,12,,,,,
-78.82416558,42.952614,0,0,186,170,2020/10/30 13:27:18+00,,1.57,,,,,,,,,,,,14,,,,,
-78.82414904,42.95262734,0,0,187,170,2020/10/30 13:27:19+00,,1.59,,,,,,,,,,,,14,,,,,
-78.82413867,42.95263657,0,0,188,171,2020/10/30 13:27:20+00,,0.77,,,,,,,,,,,,14,,,,,
-78.82412825,42.95264547,0,0,189,172,2020/10/30 13:27:21+00,,1.44,,,,,,,,,,,,14,,,,,
-78.82411388,42.95265723,0,0,190,172,2020/10/30 13:27:22+00,,1.64,,,,,,,,,,,,14,,,,,
-78.82409504,42.95266944,0,0,191,173,2020/10/30 13:27:23+00,,1.87,,,,,,,,,,,,14,,,,,
-78.82407694,42.95268158,0,0,192,172,2020/10/30 13:27:24+00,,1.69,,,,,,,,,,,,14,,,,,
-78.82405468,42.95269493,0,0,193,173,2020/10/30 13:27:25+00,,2.31,,,,,,,,,,,,14,,,,,
-78.82403099,42.95271105,0,0,194,172,2020/10/30 13:27:26+00,,2.38,,,,,,,,,,,,14,,,,,
-78.82401549,42.9527259,0,0,195,171,2020/10/30 13:27:27+00,,1.88,,,,,,,,,,,,14,,,,,
-78.82400973,42.95274075,0,0,196,173,2020/10/30 13:27:28+00,,1.77,,,,,,,,,,,,14,,,,,
-78.82400739,42.9527586,0,0,197,174,2020/10/30 13:27:29+00,,2.13,,,,,,,,,,,,14,,,,,
-78.82400143,42.9527724,0,0,198,174,2020/10/30 13:27:30+00,,2.19,,,,,,,,,,,,14,,,,,
-78.82399185,42.95278264,0,0,199,175,2020/10/30 13:27:31+00,,1.68,,,,,,,,,,,,14,,,,,
-78.82397563,42.95279004,0,0,200,174,2020/10/30 13:27:32+00,,2.3,,,,,,,,,,,,14,,,,,
-78.82395988,42.95280055,0,0,201,175,2020/10/30 13:27:33+00,,2.32,,,,,,,,,,,,14,,,,,
-78.82394209,42.95281562,0,0,202,174,2020/10/30 13:27:34+00,,3.06,,,,,,,,,,,,14,,,,,
-78.82392852,42.9528267,0,0,203,174,2020/10/30 13:27:35+00,,1.25,,,,,,,,,,,,14,,,,,
-78.82391486,42.95283281,0,0,204,174,2020/10/30 13:27:36+00,,1.83,,,,,,,,,,,,14,,,,,
-78.82389177,42.95283842,0,0,205,173,2020/10/30 13:27:37+00,,2.33,,,,,,,,,,,,14,,,,,
-78.82386748,42.95284084,0,0,206,172,2020/10/30 13:27:38+00,,1.98,,,,,,,,,,,,14,,,,,
-78.82384979,42.95284068,0,0,207,173,2020/10/30 13:27:39+00,,1.62,,,,,,,,,,,,14,,,,,
-78.82383592,42.95283776,0,0,208,174,2020/10/30 13:27:40+00,,1.38,,,,,,,,,,,,14,,,,,
-78.823818,42.95283085,0,0,209,174,2020/10/30 13:27:41+00,,2.05,,,,,,,,,,,,14,,,,,
-78.82379853,42.95282341,0,0,210,174,2020/10/30 13:27:42+00,,1.93,,,,,,,,,,,,14,,,,,
-78.8237764,42.95281263,0,0,211,173,2020/10/30 13:27:43+00,,2.58,,,,,,,,,,,,14,,,,,
-78.82375622,42.9528015,0,0,212,172,2020/10/30 13:27:44+00,,1.91,,,,,,,,,,,,14,,,,,
-78.82373619,42.95278946,0,0,213,171,2020/10/30 13:27:45+00,,2.59,,,,,,,,,,,,14,,,,,
-78.8237171,42.95277806,0,0,214,171,2020/10/30 13:27:46+00,,2.14,,,,,,,,,,,,14,,,,,
-78.8237017,42.95276688,0,0,215,172,2020/10/30 13:27:47+00,,2.22,,,,,,,,,,,,14,,,,,
-78.82368932,42.95275698,0,0,216,170,2020/10/30 13:27:48+00,,1.94,,,,,,,,,,,,14,,,,,
-78.82368817,42.95274101,0,0,217,170,2020/10/30 13:27:49+00,,2.22,,,,,,,,,,,,14,,,,,
-78.82368682,42.95272482,0,0,218,170,2020/10/30 13:27:50+00,,1.72,,,,,,,,,,,,14,,,,,
-78.82367835,42.95270723,0,0,219,170,2020/10/30 13:27:51+00,,2.64,,,,,,,,,,,,14,,,,,
-78.8236643,42.95269305,0,0,220,169,2020/10/30 13:27:52+00,,1.84,,,,,,,,,,,,14,,,,,
-78.82364522,42.95268076,0,0,221,169,2020/10/30 13:27:53+00,,2.59,,,,,,,,,,,,14,,,,,
-78.82361709,42.95266591,0,0,222,168,2020/10/30 13:27:54+00,,3.37,,,,,,,,,,,,13,,,,,
-78.82359225,42.95265263,0,0,223,168,2020/10/30 13:27:55+00,,2.59,,,,,,,,,,,,13,,,,,
-78.82357744,42.95264713,0,0,224,169,2020/10/30 13:27:56+00,,1.67,,,,,,,,,,,,13,,,,,
-78.82356761,42.9526451,0,0,225,170,2020/10/30 13:27:57+00,,1.47,,,,,,,,,,,,13,,,,,
-78.82355152,42.95264208,0,0,226,170,2020/10/30 13:27:58+00,,2.29,,,,,,,,,,,,13,,,,,
-78.823531,42.95264262,0,0,227,171,2020/10/30 13:27:59+00,,1.82,,,,,,,,,,,,13,,,,,
-78.82350758,42.95265144,0,0,228,171,2020/10/30 13:28:00+00,,2.63,,,,,,,,,,,,13,,,,,
-78.82348366,42.95266369,0,0,229,171,2020/10/30 13:28:01+00,,2.02,,,,,,,,,,,,13,,,,,
-78.82347285,42.95267473,0,0,230,172,2020/10/30 13:28:02+00,,1.05,,,,,,,,,,,,13,,,,,
-78.82346467,42.95268681,0,0,231,171,2020/10/30 13:28:03+00,,1.58,,,,,,,,,,,,13,,,,,
